Codice attacco,Test Number,Data inizio attacco,Data fine attacco,Exit code
T1055  - ,1,2024-07-27T11:57:58+02:00,2024-07-27T11:58:01+02:00,0
T1055  - ,2,2024-07-27T11:58:03+02:00,2024-07-27T11:58:04+02:00,0
T1055  - ,3,2024-07-27T11:58:06+02:00,2024-07-27T11:58:09+02:00,0
T1055  - ,4,2024-07-27T11:58:11+02:00,2024-07-27T12:00:01+02:00,-1
T1055  - ,5,2024-07-27T12:00:04+02:00,2024-07-27T12:00:11+02:00,0
T1055  - ,6,2024-07-27T12:00:13+02:00,2024-07-27T12:00:14+02:00,0
T1055  - ,7,2024-07-27T12:00:16+02:00,2024-07-27T12:00:17+02:00,0
T1055  - ,8,2024-07-27T12:00:20+02:00,2024-07-27T12:00:21+02:00,0
T1055  - ,9,2024-07-27T12:00:23+02:00,2024-07-27T12:00:24+02:00,0
T1055  - ,10,2024-07-27T12:00:26+02:00,2024-07-27T12:00:27+02:00,0
T1055  - ,11,2024-07-27T12:00:29+02:00,2024-07-27T12:00:29+02:00,0
T1055  - ,12,2024-07-27T12:00:32+02:00,2024-07-27T12:00:32+02:00,0
T1055  - ,13,2024-07-27T12:00:35+02:00,2024-07-27T12:01:05+02:00,0
T1187  - ,1,2024-07-27T12:01:08+02:00,2024-07-27T12:01:08+02:00,0
T1187  - ,2,2024-07-27T12:01:10+02:00,2024-07-27T12:01:12+02:00,0
T1187  - ,3,2024-07-27T12:01:14+02:00,2024-07-27T12:01:16+02:00,0
T1559  - ,1,2024-07-27T12:01:18+02:00,2024-07-27T12:01:18+02:00,1
T1559  - ,2,2024-07-27T12:01:21+02:00,2024-07-27T12:01:21+02:00,1
T1559  - ,3,2024-07-27T12:01:23+02:00,2024-07-27T12:01:23+02:00,1
T1559  - ,4,2024-07-27T12:01:25+02:00,2024-07-27T12:01:25+02:00,1
T1559  - ,5,2024-07-27T12:01:28+02:00,2024-07-27T12:01:28+02:00,1
T1137  - ,1,2024-07-27T12:01:30+02:00,2024-07-27T12:01:31+02:00,0
T1059  - ,1,2024-07-27T12:01:33+02:00,2024-07-27T12:01:33+02:00,0
T1072  - ,1,2024-07-27T12:01:36+02:00,2024-07-27T12:01:36+02:00,1
T1072  - ,2,2024-07-27T12:01:38+02:00,2024-07-27T12:01:38+02:00,1
T1072  - ,3,2024-07-27T12:01:41+02:00,2024-07-27T12:01:41+02:00,0
T1098  - ,1,2024-07-27T12:01:43+02:00,2024-07-27T12:01:44+02:00,0
T1098  - ,2,2024-07-27T12:01:46+02:00,2024-07-27T12:01:47+02:00,0
T1098  - ,3,2024-07-27T12:01:49+02:00,2024-07-27T12:01:50+02:00,1
T1098  - ,4,2024-07-27T12:01:52+02:00,2024-07-27T12:01:52+02:00,0
T1098  - ,5,2024-07-27T12:01:54+02:00,2024-07-27T12:01:55+02:00,0
T1098  - ,6,2024-07-27T12:01:57+02:00,2024-07-27T12:01:57+02:00,0
T1098  - ,7,2024-07-27T12:01:59+02:00,2024-07-27T12:02:00+02:00,0
T1098  - ,8,2024-07-27T12:02:02+02:00,2024-07-27T12:02:02+02:00,0
T1098  - ,9,2024-07-27T12:02:04+02:00,2024-07-27T12:02:05+02:00,0
T1098  - ,10,2024-07-27T12:02:07+02:00,2024-07-27T12:02:07+02:00,0
T1106  - ,1,2024-07-27T12:02:09+02:00,2024-07-27T12:02:10+02:00,0
T1106  - ,2,2024-07-27T12:02:12+02:00,2024-07-27T12:02:13+02:00,0
T1106  - ,3,2024-07-27T12:02:16+02:00,2024-07-27T12:04:09+02:00,-1
T1106  - ,4,2024-07-27T12:04:11+02:00,2024-07-27T12:04:18+02:00,0
T1106  - ,5,2024-07-27T12:04:20+02:00,2024-07-27T12:04:21+02:00,0
T1047  - ,1,2024-07-27T12:04:23+02:00,2024-07-27T12:04:23+02:00,0
T1047  - ,2,2024-07-27T12:04:25+02:00,2024-07-27T12:04:25+02:00,0
T1047  - ,3,2024-07-27T12:04:27+02:00,2024-07-27T12:04:28+02:00,0
T1047  - ,4,2024-07-27T12:04:30+02:00,2024-07-27T12:04:30+02:00,0
T1047  - ,5,2024-07-27T12:04:32+02:00,2024-07-27T12:04:33+02:00,0
T1047  - ,6,2024-07-27T12:04:35+02:00,2024-07-27T12:04:35+02:00,-2147024882
T1047  - ,7,2024-07-27T12:04:37+02:00,2024-07-27T12:04:38+02:00,0
T1047  - ,8,2024-07-27T12:04:40+02:00,2024-07-27T12:04:41+02:00,0
T1047  - ,9,2024-07-27T12:04:43+02:00,2024-07-27T12:04:43+02:00,0
T1047  - ,10,2024-07-27T12:04:46+02:00,2024-07-27T12:04:51+02:00,0
T1555  - ,1,2024-07-27T12:04:53+02:00,2024-07-27T12:04:54+02:00,0
T1555  - ,2,2024-07-27T12:04:56+02:00,2024-07-27T12:04:57+02:00,0
T1555  - ,3,2024-07-27T12:05:00+02:00,2024-07-27T12:05:01+02:00,0
T1555  - ,4,2024-07-27T12:05:03+02:00,2024-07-27T12:05:03+02:00,0
T1555  - ,5,2024-07-27T12:05:05+02:00,2024-07-27T12:05:05+02:00,0
T1555  - ,6,2024-07-27T12:05:07+02:00,2024-07-27T12:05:28+02:00,0
T1555  - ,7,2024-07-27T12:05:31+02:00,2024-07-27T12:05:33+02:00,0
T1555  - ,8,2024-07-27T12:05:35+02:00,2024-07-27T12:05:37+02:00,0
T1003  - ,1,2024-07-27T12:05:39+02:00,2024-07-27T12:05:39+02:00,1
T1003  - ,2,2024-07-27T12:05:41+02:00,2024-07-27T12:05:41+02:00,0
T1003  - ,3,2024-07-27T12:05:43+02:00,2024-07-27T12:05:44+02:00,0
T1003  - ,4,2024-07-27T12:05:46+02:00,2024-07-27T12:05:47+02:00,0
T1003  - ,5,2024-07-27T12:05:49+02:00,2024-07-27T12:05:49+02:00,0
T1003  - ,6,2024-07-27T12:05:51+02:00,2024-07-27T12:05:52+02:00,0
T1003  - ,7,2024-07-27T12:05:54+02:00,2024-07-27T12:05:56+02:00,0
T1547  - ,1,2024-07-27T12:05:59+02:00,2024-07-27T12:05:59+02:00,0
T1129  - ,1,2024-07-27T12:06:01+02:00,2024-07-27T12:06:02+02:00,255
T1546  - ,1,2024-07-27T12:06:04+02:00,2024-07-27T12:06:04+02:00,0
T1546  - ,2,2024-07-27T12:06:07+02:00,2024-07-27T12:06:07+02:00,0
T1546  - ,3,2024-07-27T12:06:10+02:00,2024-07-27T12:06:10+02:00,0
T1546  - ,4,2024-07-27T12:06:13+02:00,2024-07-27T12:06:18+02:00,0
