Codice attacco,Test Number,Data inizio attacco,Data fine attacco,Exit code
T1055  - ,1,2024-07-29T11:55:28+02:00,2024-07-29T11:55:31+02:00,0
T1055  - ,2,2024-07-29T11:55:33+02:00,2024-07-29T11:55:34+02:00,1
T1055  - ,3,2024-07-29T11:55:36+02:00,2024-07-29T11:55:37+02:00,0
T1055  - ,4,2024-07-29T11:55:39+02:00,2024-07-29T11:55:46+02:00,0
T1055  - ,5,2024-07-29T11:55:48+02:00,2024-07-29T11:55:54+02:00,0
T1055  - ,6,2024-07-29T11:55:57+02:00,2024-07-29T11:55:58+02:00,0
T1055  - ,7,2024-07-29T11:56:00+02:00,2024-07-29T11:56:01+02:00,0
T1055  - ,8,2024-07-29T11:56:04+02:00,2024-07-29T11:56:05+02:00,0
T1055  - ,9,2024-07-29T11:56:07+02:00,2024-07-29T11:56:08+02:00,0
T1055  - ,10,2024-07-29T11:56:11+02:00,2024-07-29T11:56:11+02:00,0
T1055  - ,11,2024-07-29T11:56:14+02:00,2024-07-29T11:56:14+02:00,0
T1055  - ,12,2024-07-29T11:56:16+02:00,2024-07-29T11:56:17+02:00,0
T1055  - ,13,2024-07-29T11:56:19+02:00,2024-07-29T11:56:29+02:00,0
T1547  - ,1,2024-07-29T11:56:33+02:00,2024-07-29T11:56:35+02:00,0
T1072  - ,1,2024-07-29T11:56:40+02:00,2024-07-29T11:56:42+02:00,1
T1072  - ,2,2024-07-29T11:56:44+02:00,2024-07-29T11:56:45+02:00,1
T1072  - ,3,2024-07-29T11:56:48+02:00,2024-07-29T11:56:52+02:00,0
T1187  - ,1,2024-07-29T11:56:54+02:00,2024-07-29T11:56:55+02:00,0
T1187  - ,2,2024-07-29T11:56:57+02:00,2024-07-29T11:56:59+02:00,0
T1187  - ,3,2024-07-29T11:57:01+02:00,2024-07-29T11:57:03+02:00,0
T1098  - ,1,2024-07-29T11:57:05+02:00,2024-07-29T11:57:05+02:00,0
T1098  - ,2,2024-07-29T11:57:08+02:00,2024-07-29T11:57:08+02:00,0
T1098  - ,3,2024-07-29T11:57:10+02:00,2024-07-29T11:57:11+02:00,1
T1098  - ,4,2024-07-29T11:57:13+02:00,2024-07-29T11:57:14+02:00,0
T1098  - ,5,2024-07-29T11:57:16+02:00,2024-07-29T11:57:17+02:00,0
T1098  - ,6,2024-07-29T11:57:19+02:00,2024-07-29T11:57:20+02:00,0
T1098  - ,7,2024-07-29T11:57:23+02:00,2024-07-29T11:57:24+02:00,0
T1098  - ,8,2024-07-29T11:57:26+02:00,2024-07-29T11:57:27+02:00,0
T1098  - ,9,2024-07-29T11:57:30+02:00,2024-07-29T11:57:31+02:00,0
T1098  - ,10,2024-07-29T11:57:33+02:00,2024-07-29T11:57:34+02:00,0
T1137  - ,1,2024-07-29T11:57:37+02:00,2024-07-29T11:57:38+02:00,0
T1546  - ,1,2024-07-29T11:57:41+02:00,2024-07-29T11:57:41+02:00,0
T1546  - ,2,2024-07-29T11:57:44+02:00,2024-07-29T11:57:44+02:00,0
T1546  - ,3,2024-07-29T11:57:47+02:00,2024-07-29T11:57:47+02:00,0
T1546  - ,4,2024-07-29T11:57:49+02:00,2024-07-29T11:57:54+02:00,0
T1559  - ,1,2024-07-29T11:57:56+02:00,2024-07-29T11:57:56+02:00,1
T1559  - ,2,2024-07-29T11:57:58+02:00,2024-07-29T11:57:58+02:00,1
T1559  - ,3,2024-07-29T11:58:00+02:00,2024-07-29T11:58:00+02:00,1
T1559  - ,4,2024-07-29T11:58:02+02:00,2024-07-29T11:58:02+02:00,1
T1559  - ,5,2024-07-29T11:58:04+02:00,2024-07-29T11:58:05+02:00,1
